#,Rule Type,Template Correct Phrase,Template Error Phrase,Mecab Output,Requisite Syntactic Tags,Inserted,Modified,Preserved,Substituted,Deleted
tag1,Character,嬉しい,嬉い,"形容詞,自立,形容詞・イ段,基本形,嬉しい","1,0,0,1,0",[],[],"[[1, 2]]",[],[1]
tag2,Character,いっしょ,いしょ,"名詞,一般,*,*,いっしょ","1,0,0,0,0",[],[],[],[],[1]
tag3,Character,けいざい,けざい,"名詞,一般,*,*,けいざい","1,0,0,0,0",[],[],"[[0, 0]]",[],[1]
tag4,Character,せんこう,せんこ,"名詞,サ変接続,*,*,せんこう","1,0,0,0,0",[],[],"[[2, 2]]",[],[3]
tag5,Character,せんせい,せんせ,"名詞,一般,*,*,せんせい","1,0,0,0,0",[],[],"[[2, 2]]",[],[3]
tag6,Character,べんきょう,べんきょ,"名詞,サ変接続,*,*,勉強","1,0,0,0,0",[],[],"[[2, 2], [3, 3]]",[],[4]
tag0,Character,ぶんこ,ぶんこう,"名詞,固有名詞,*,*,ぶんこ","1,0,0,0,0",[3],[],"[[2, 2]]",[],[4]
tag8,Character,食べる,食びる,"動詞,自立,一段,基本形,食べる","1,0,1,0,0",[],[],"[[2,2]]","[[1,1]]",[]
