あ,え,い,お,う
ぁ,ぇ,ぃ,ぉ,ぅ
か,け,き,こ,く
が,げ,ぎ,ご,ぐ
きゃ,,,きょ,きゅ
ぎゃ,,,ぎょ,ぎゅ
ヵ,ヶ,,,
さ,せ,し,そ,す
ざ,ぜ,じ,ぞ,ず
しゃ,,,しょ,しゅ
じゃ,,,じょ,じゅ
た,て,ち,と,つ
だ,で,ぢ,ど,づ
,,,,っ
ちゃ,,,ちょ,ちゅ
な,ね,に,の,ぬ
にゃ,,,にょ,にゅ
ぱ,ぺ,ぴ,ぽ,ぷ
は,へ,ひ,ほ,ふ
ば,べ,び,ぼ,ぶ
ぴゃ,,,ぴょ,ぴゅ
ひゃ,,,ひょ,ひゅ
びゃ,,,びょ,びゅ
ま,め,み,も,む
みゃ,,,みょ,みゅ
ら,れ,り,ろ,る
りゃ,,,りょ,りゅ
や,,ゆ,,よ
ゃ,,ゅ,,ょ
わ,ゐ,,,
ん,,,,
